	Date	Time	Tweet	Picture	Longitude	Lattitude
0	26.11.2021	17:17:20	"""Cher et excellent voisin, j'ai remis de jour en jour à vous donner de mes nouvelles,  "" à Langlès, 1823-06-30 (https://constance-de-salm.de/archiv/#/document/70)"		6.5	51.1
1	26.11.2021	15:12:13	"""Je vais retourner à Paris dans 15 jours, Monsieur, "" à Raboteau, 1805-10-18 (https://constance-de-salm.de/archiv/#/document/1790)"		6.5	51.1
2	27.11.2021	12:18:33	"""Nous avons bien regretté, Monsieur, de ne pas vous avoir vu avant, pendant ni après notre fête du 15. "" à Théremin, 1807-08-18 (https://constance-de-salm.de/archiv/#/document/2089)"		6.5	51.1
3	27.11.2021	11:55:29	"""Je ne vous ai pas encore écrit, Monsieur,"" à Raboteau, 1807-05-28 (https://constance-de-salm.de/archiv/#/document/2077)"		6.5	51.1
4	28.11.2021	20:03:22	"""Je ne serai jamais embarrassée, Monsieur, quand il faudra dire du bien de vous"" à Lefrançois de Lalande, 1807-01-31 (https://constance-de-salm.de/archiv/#/document/2072)"			
5	28.11.2021	07:20:39	"""J’ai appris avec bien du plaisir, Monsieur, le succès de mon éloge de Lalande. "" à Feuillet, 1809-06-30 (https://constance-de-salm.de/archiv/#/document/2128)"		6.5	51.1
6	29.11.2021	12:00:47	"""Je profite d’un contreseing, Monsieur et ami, pour vous dire que j’ai reçu votre aimable lettre,"" à Raboteau, 1809-07-20 (https://constance-de-salm.de/archiv/#/document/2130)"		6.5	51.1
7	29.11.2021	14:35:12	"""La dame, auteur de l‘Épître jointe à cette lettre, s’empresse de l’adresser à Monsieur de Méneval "" à Méneval, 1810-02-16 (https://constance-de-salm.de/archiv/#/document/2142)"		2.3488	48.85341
8	30.11.2021	17:13:17	"""Lorsqu’entré dans son cabinet / On fait le plan de sa journée "" à Raboteau, 1808-06-11 (https://constance-de-salm.de/archiv/#/document/2104)"		6.5	51.1
9	30.11.2021	19:45:28	"""J’ai quitté la campagne et je suis près de vous / Vous ne m’écrivez plus, et je m’en plains avec cause / "" à Gudin de La Brenellerie, 1808-10-21 (https://constance-de-salm.de/archiv/#/document/2109)"		2.3488	48.85341
10	1.12.2021	17:33:57	"""Madame de Locquenghien, ci-devant baronne peu fortunée et mère de 9 enfants, dont plusieurs sont encore à sa charge"" à Beugnot, 1808-11-12 (https://constance-de-salm.de/archiv/#/document/2111)"		2.3488	48.85341
11	1.12.2021	16:39:58	"""Je pars, je vais revoir les rives de la Seine / Ces beaux lieux où chacun peut vivre satisfait / Ces beaux lieux où, du moins, le bonheur et la peine /"" à Raboteau, 1809-10-12 (https://constance-de-salm.de/archiv/#/document/2135)"		6.5	51.1
12	2.12.2021	07:01:02	"""Je suis arrivée ici, Monsieur, en assés bon état quoiqu’excédée de fatigue :"" à Raboteau, 1810-07-27 (https://constance-de-salm.de/archiv/#/document/2161)"		6.5	51.1
13	2.12.2021	18:38:20	"""Je m’empresse, Monsieur le baron, de vous remercier de votre charmante réception à laquelle j’ai été bien sensible "" à Ladoucette, 1811-05-08 (https://constance-de-salm.de/archiv/#/document/2205)"		6.5	51.1
14	3.12.2021	13:31:23	"""Je pars le cœur rempli de votre grâce extrême / De vos nobles bontés, dont l’attrait est si doux / Je m’éloigne à regrets, de ce charme suprême "" à Bonaparte, 1811-08-31 (https://constance-de-salm.de/archiv/#/document/2229)"		6.08342	50.77664
15	3.12.2021	16:36:55	"""J'ai appris avec beaucoup de satisfaction, Monsieur, que la Société d'émulation et d'agriculture de l'Ain m'a admise"" à Gauthier (= Lacroix Gauthier?), 1812-01-23 (https://constance-de-salm.de/archiv/#/document/2250)"		2.3488	48.85341
16	4.12.2021	13:44:38	"""Voilà bien longtemps que je ne vous ai écrit, Monsieur et ami; mais le voyage de l’Empereur "" à Raboteau, 1811-11-16 (https://constance-de-salm.de/archiv/#/document/2236)"		6.5	51.1
17	4.12.2021	12:56:58	"""Madame de Salm qui est de retour à Paris depuis avant hier, s'empresse de faire savoir "" à Barbier, nan (https://constance-de-salm.de/archiv/#/document/2243)"		2.3488	48.85341
18	5.12.2021	17:15:43	"""Je n’ose en vérité, Monsieur et ami, vous écrire de méchants vers comme j’en ai eu l’idée dix fois."" à Raboteau, 1813-05-23 (https://constance-de-salm.de/archiv/#/document/2301)"		6.08342	50.77664
19	5.12.2021	07:34:57	"""Depuis quelques jours, mon cher Lemontey, j’éprouve une indignation presque continuelle "" à Lémontey, 1813-10-25 (https://constance-de-salm.de/archiv/#/document/2313)"		6.5	51.1
20	6.12.2021	10:07:55	"""Je veux vous annoncer, Monsieur et ami, mon heureuse arrivée dans mes grands et solitaires foyers. "" à Raboteau, 1815-08-25 (https://constance-de-salm.de/archiv/#/document/2325)"		6.5	51.1
21	6.12.2021	17:54:29	"""C'est avec un grand plaisir que je vous écris ce mot de ma main, mon cher voisin, "" à Prous, 1821-10-08 (https://constance-de-salm.de/archiv/#/document/2849)"			
22	7.12.2021	13:44:37	"""Je reçois votre belle et propre lettre, sur mon canapé,"" à Prous, 1821-05-16 (https://constance-de-salm.de/archiv/#/document/2844)"		6.5	51.1
23	7.12.2021	19:25:18	"""Connaissez-vous ce triste état / Où l’on n’est tout à fait bien portant ni malade, "" à Gudin de La Brenellerie, 1810-09-14 (https://constance-de-salm.de/archiv/#/document/5627)"		6.5	51.1
24	8.12.2021	13:28:07	"""Je n’ai pas eu de tes lettres hier ni avant-hier, ma chère Minette,"" à Francq, 1815-08-04 (https://constance-de-salm.de/archiv/#/document/6226)"			
25	8.12.2021	11:18:29	"""„Pour Madame Minette“ . Cher frère: je suis depuis hier dans un si grand tourment d'esprit pour l’affaire de ma première femme"" à Francq, 1814-12-24 (https://constance-de-salm.de/archiv/#/document/6214)"			
26	9.12.2021	11:45:01	"""Ma chère Minette, me voici à Valenciennes avec le plus beau tems du monde"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6219)"		3.52506	50.35909
27	9.12.2021	12:07:25	"""Ma chère Minette, je n’ai plus un mot de toi depuis la guerre,"" à Francq, 1815-07-24 (https://constance-de-salm.de/archiv/#/document/6221)"			
28	10.12.2021	16:55:35	"""Je t’écris ce matin, ma chère Minette, parce que j’ai été interrompue,"" à Francq, 1814-09-19 (https://constance-de-salm.de/archiv/#/document/6199)"			
29	10.12.2021	17:05:02	"""J’ai reçu hier ta dernière petite lettre par Monsieur Drais, ma chère Minette,"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6202)"			
30	11.12.2021	19:33:42	"""Me voici ici, Monsieur, et je veux vous donner de mes nouvelles ainsi qu‘à ma fille"" à Drais, 1814-07-04 (https://constance-de-salm.de/archiv/#/document/6187)"			
31	11.12.2021	07:15:53	"""Je te commence cette lettre, ma chère Minette, le soir, "" à Francq, 1815-12-09 (https://constance-de-salm.de/archiv/#/document/6252)"			
32	12.12.2021	10:07:21	"""Voici, ma chère Minette, une lettre "" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6269)"			
33	12.12.2021	11:10:39	"""C’est aujourd’hui lundi gras, ma chère Minette, tout mon monde est dehors"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6271)"			
34	13.12.2021	15:43:05	"""Je ne t’écrirai qu’un mot aujourd’hui, ma chère Minette, car je ne veux pas fatiguer mon oreille"" à Francq, 1815-11-02 (https://constance-de-salm.de/archiv/#/document/6245)"			
35	13.12.2021	20:32:05	"""Il y a bien longtems que je ne t’ai écrit et que je n’ai eu de tes lettres, ma chère Minette, c’est-à-dire 4 à 5 jours"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6233)"			
36	14.12.2021	11:22:41	"""La poste vient de partir, ma chère Minette"" à Francq, 1816-04-28 (https://constance-de-salm.de/archiv/#/document/6283)"			
37	14.12.2021	12:14:28	"""J’ai reçu hier ta lettre sur notre pauvre ami Martini, ma chère Minette,"" à Francq, 1816-02-08 (https://constance-de-salm.de/archiv/#/document/6276)"			
38	15.12.2021	18:45:01	"""J’ai enfin ta lettre du 18, ma chère Minette. Dieu veuille que tu sois accouchée quand tu recevras celle-cy"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6238)"			
39	15.12.2021	20:54:21	"""Il fait une chaleur si épouvantable, ma chère Minette"" à Francq, 1815-09-15 (https://constance-de-salm.de/archiv/#/document/6240)"			
40	16.12.2021	14:29:33	"""Ma chère Minette, j’ai reçu hier ta grande lettre, j’y réponds plus tard."" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6264)"		6.5	51.1
41	16.12.2021	11:58:52	"""Enfin, ma chère Minette, te voilà heureusement délivrée : j’en suis presqu’aussi soulagée que toi."" à Francq, 1815-10-27 (https://constance-de-salm.de/archiv/#/document/6257)"			
42	17.12.2021	10:39:20	"""Je viens de finir"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6288)"			
43	17.12.2021	14:20:55	"""Tu n’auras que cette feuille aujourd‘hui, ma chère Minette"" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6290)"			
44	18.12.2021	11:56:39	"""Madame la baronne, Son Altesse a voulu bien me distinguer par l’honorable commission de vous entretenir des nouvelles du jour de Dyck."" à Francq, nan (https://constance-de-salm.de/archiv/#/document/6295)"			
45	18.12.2021	09:39:22	"""Votre lettre est charmante, Monsieur, elle ferait un bon article "" à Sauvo, nan (https://constance-de-salm.de/archiv/#/document/7515)"			
46	19.12.2021	20:21:46	"""Je suis ici depuis quinze jours, Monsieur, mais encore si fatiguée du voyage"" à Sandt, 1838-08-21 (https://constance-de-salm.de/archiv/#/document/7541)"		6.5	51.1
47	19.12.2021	18:17:01	"""Je suis ici depuis 15 jours, ma chère cousine, mais à peine remise des fatigues de la route. "" à Novakowsky, nan (https://constance-de-salm.de/archiv/#/document/7560)"			
48	20.12.2021	10:00:58	"""J'ai reçu, il y a deux jours, cher frère, la lettre que tu m'as écrite après avoir reçu celle de Monsieur Drais"" à Théis, nan (https://constance-de-salm.de/archiv/#/document/7565)"		6.5	51.1
49	20.12.2021	07:40:06	"""J'envoie savoir comment se portent Madame la maréchale, Monsieur le comte et Madame la comtesse qui, comme je l'ai appris ici"" à Maison, 1841-10-13 (https://constance-de-salm.de/archiv/#/document/7546)"			
50	21.12.2021	19:28:43	"""Rien ne peut m'être plus agréable, Monsieur, que le projet que vous avez "" à Villenave, 1837-03-30 (https://constance-de-salm.de/archiv/#/document/7748)"		2.3488	48.85341
51	21.12.2021	08:55:19	"""Va donc pour mardi 11, Monsieur, je vous attendrai tous, comme il a été dit"" à Villenave, nan (https://constance-de-salm.de/archiv/#/document/7750)"			
52	22.12.2021	11:07:37	"""Voici, Monsieur, le volume que vous m'aviez prêté, et que je n'avais pu vous donner hier"" à Barbier, 1837-04-02 (https://constance-de-salm.de/archiv/#/document/7755)"			
53	22.12.2021	20:01:03	"""Nous sommes encore fort souffrants des suites de la grippe"" à Viennet, 1837-02-26 (https://constance-de-salm.de/archiv/#/document/7729)"			
54	23.12.2021	07:57:12	"""On me remet à l'instant une carte de Monsieur Guerrier de Dumast"" à Guerrier de Dumast, nan (https://constance-de-salm.de/archiv/#/document/7731)"			
55	23.12.2021	13:29:01	"""Je remercie beaucoup Monsieur Barbier de m'avoir envoyé le 7ème volume des Mémoires de l'académie"" à Barbier, 1837-03-26 (https://constance-de-salm.de/archiv/#/document/7743)"		2.3488	48.85341
56	24.12.2021	11:53:28	"""Je vous remercie, Madame, de m'avoir envoyé votre „Demande en révision du code civil“"" à Dauriat, nan (https://constance-de-salm.de/archiv/#/document/7762)"			
57	24.12.2021	20:04:46	"""Nous allons enfin mieux, Félix et moi, très aimable dame"" à Waldor, nan (https://constance-de-salm.de/archiv/#/document/7736)"			
58	25.12.2021	12:54:06	"""J'éprouve le besoin de vous écrire ce que je vous ai dit hier, mon cher voisin"" à Ladoucette, 1837-05-31 (https://constance-de-salm.de/archiv/#/document/7774)"			
59	25.12.2021	20:13:44	"""C'est encore moi; les affaires que j'ai à décider ce soir "" à Ladoucette, 1837-06-01 (https://constance-de-salm.de/archiv/#/document/7779)"			
60	26.12.2021	13:28:45	"""Je me hâte, Monsieur le baron, de répondre à la lettre que j'ai reçue de vous hier et par laquelle"" à Ladoucette, 1837-08-08 (https://constance-de-salm.de/archiv/#/document/7820)"			
61	26.12.2021	16:02:21	"""La famille Villenave que vous avez vu [sic] sans doute depuis mon départ, ma chère amie, vous aura dit ce que j'avais chargé Monsieur Drais"" à Vanhove, 1837-08-17 (https://constance-de-salm.de/archiv/#/document/7825)"			
62	27.12.2021	15:13:55	"""Madame Waldor m'ayant dit qu'elle viendrait avant 3 heures"" à Vanhove, 1837-07-02 (https://constance-de-salm.de/archiv/#/document/7798)"			
63	27.12.2021	20:54:17	"""Quoique je sois partie un jour plus tard que je ne le croyais, Monsieur,"" à Montémont, 1837-07-13 (https://constance-de-salm.de/archiv/#/document/7801)"			
